name,version,licence,licensor,homepage,scope
@babel/plugin-transform-export-namespace-from,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-export-namespace-from,runtime
@babel/plugin-transform-for-of,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-for-of,runtime
@babel/plugin-transform-function-name,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-function-name,runtime
@babel/plugin-transform-json-strings,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-json-strings,runtime
@babel/plugin-transform-literals,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-literals,runtime
@babel/plugin-transform-logical-assignment-operators,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-logical-assignment-operators,runtime
@babel/plugin-transform-member-expression-literals,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-member-expression-literals,runtime
@babel/plugin-transform-modules-amd,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-modules-amd,runtime
@babel/plugin-transform-modules-commonjs,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-modules-commonjs,runtime
@babel/plugin-transform-modules-systemjs,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-modules-systemjs,runtime
@babel/plugin-transform-modules-umd,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-modules-umd,runtime
@babel/plugin-transform-named-capturing-groups-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-named-capturing-groups-regex,runtime
@babel/plugin-transform-new-target,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-new-target,runtime
@babel/plugin-transform-nullish-coalescing-operator,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-nullish-coalescing-operator,runtime
@babel/plugin-transform-numeric-separator,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-numeric-separator,runtime
@babel/plugin-transform-object-rest-spread,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-object-rest-spread,runtime
@babel/plugin-transform-object-super,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-object-super,runtime
@babel/plugin-transform-optional-catch-binding,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-optional-catch-binding,runtime
@babel/plugin-transform-optional-chaining,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-optional-chaining,runtime
@babel/plugin-transform-parameters,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-parameters,runtime
@babel/plugin-transform-private-methods,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-private-methods,runtime
@babel/plugin-transform-private-property-in-object,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-private-property-in-object,runtime
@babel/plugin-transform-property-literals,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-property-literals,runtime
@babel/plugin-transform-react-display-name,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-react-display-name,runtime
@babel/plugin-transform-react-jsx,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-react-jsx,runtime
@babel/plugin-transform-react-jsx-development,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/plugin-transform-react-pure-annotations,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/plugin-transform-regenerator,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-regenerator,runtime
@babel/plugin-transform-regexp-modifiers,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-regexp-modifiers,runtime
@babel/plugin-transform-reserved-words,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-reserved-words,runtime
@babel/plugin-transform-shorthand-properties,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-shorthand-properties,runtime
@babel/plugin-transform-spread,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-spread,runtime
@babel/plugin-transform-sticky-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-sticky-regex,runtime
@babel/plugin-transform-template-literals,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-template-literals,runtime
@babel/plugin-transform-typeof-symbol,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-typeof-symbol,runtime
@babel/plugin-transform-typescript,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-typescript,runtime
@babel/plugin-transform-unicode-escapes,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-unicode-escapes,runtime
@babel/plugin-transform-unicode-property-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-unicode-property-regex,runtime
@babel/plugin-transform-unicode-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-unicode-regex,runtime
@babel/plugin-transform-unicode-sets-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-unicode-sets-regex,runtime
@babel/preset-env,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-preset-env,runtime
@babel/preset-modules,0.1.6-no-external-plugins,MIT,,https://github.com/babel/preset-modules#readme,runtime
@babel/preset-react,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-preset-react,runtime
@babel/preset-typescript,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-preset-typescript,runtime
@babel/register,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-register,runtime
@babel/runtime,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-runtime,runtime
@babel/template,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-template,runtime
@babel/traverse,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-traverse,runtime
@babel/types,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-types,runtime
@bramus/specificity,2.4.2,MIT,Bramus Van Damme,https://github.com/bramus/specificity#readme,runtime
@codemirror/autocomplete,6.20.3,MIT,Marijn Haverbeke,,runtime
@codemirror/commands,6.11.0,MIT,Marijn Haverbeke,,runtime
@codemirror/lang-javascript,6.2.5,MIT,Marijn Haverbeke,https://github.com/codemirror/lang-javascript#readme,runtime
@codemirror/language,6.12.4,MIT,Marijn Haverbeke,,runtime
@codemirror/lint,6.9.7,MIT,Marijn Haverbeke,,runtime
@codemirror/search,6.7.1,MIT,Marijn Haverbeke,,runtime
@codemirror/state,6.7.1,MIT,Marijn Haverbeke,,runtime
@codemirror/theme-one-dark,6.1.3,MIT,Marijn Haverbeke,https://github.com/codemirror/theme-one-dark#readme,runtime
@codemirror/view,6.43.9,MIT,Marijn Haverbeke,,runtime
@csstools/color-helpers,6.1.1,MIT-0,,https://github.com/csstools/postcss-plugins/tree/main/packages/color-helpers#readme,runtime
@csstools/css-calc,3.3.0,MIT,,https://github.com/csstools/postcss-plugins/tree/main/packages/css-calc#readme,runtime
@csstools/css-color-parser,4.2.1,MIT,,https://github.com/csstools/postcss-plugins/tree/main/packages/css-color-parser#readme,runtime
@csstools/css-parser-algorithms,4.0.0,MIT,,https://github.com/csstools/postcss-plugins/tree/main/packages/css-parser-algorithms#readme,runtime
@csstools/css-syntax-patches-for-csstree,1.1.9,MIT-0,,https://github.com/csstools/postcss-plugins/tree/main/packages/css-syntax-patches-for-csstree#readme,runtime
@csstools/css-tokenizer,4.0.0,MIT,,https://github.com/csstools/postcss-plugins/tree/main/packages/css-tokenizer#readme,runtime
@date-fns/tz,1.5.0,MIT,Sasha Koss,https://github.com/date-fns/date-fns#readme,runtime
@date-fns/utc,2.1.1,MIT,Sasha Koss,https://github.com/date-fns/utc#readme,runtime
@dnd-kit/accessibility,3.1.1,MIT,Claudéric Demers,https://github.com/clauderic/dnd-kit#readme,runtime
@dnd-kit/core,6.3.1,MIT,Claudéric Demers,https://github.com/clauderic/dnd-kit#readme,runtime
@dnd-kit/modifiers,9.0.0,MIT,Claudéric Demers,https://github.com/clauderic/dnd-kit#readme,runtime
@dnd-kit/sortable,10.0.0,MIT,Claudéric Demers,https://github.com/clauderic/dnd-kit#readme,runtime
@dnd-kit/utilities,3.2.2,MIT,Claudéric Demers,https://github.com/clauderic/dnd-kit#readme,runtime
@emotion/is-prop-valid,1.4.0,MIT,,https://github.com/emotion-js/emotion/tree/main#readme,runtime
@emotion/memoize,0.9.0,MIT,,https://github.com/emotion-js/emotion/tree/main#readme,runtime
@esbuild/darwin-arm64,0.28.2,MIT,,https://github.com/evanw/esbuild#readme,runtime
@eslint-community/eslint-utils,4.10.1,MIT,Toru Nagashima,https://github.com/eslint-community/eslint-utils#readme,build/dev
@eslint-community/eslint-utils,4.9.1,MIT,Toru Nagashima,https://github.com/eslint-community/eslint-utils#readme,build/dev
